TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
ABCP11;81,35;0,650000;9,22;110,80;0,73;68.670,84;1,48;5,16;20,37;521.747.901,19;14.076,00;;4.709.082,00
AFHI11;94,75;1,010000;12,77;94,54;1,00;707.002,47;1,63;-1,55;12,71;430.678.521,38;37.566,00;;4.555.618,00
AIEC11;52,69;0,340000;7,88;80,24;0,66;248.150,74;7,14;-24,26;4,52;387.165.374,73;13.871,00;;4.824.987,00
AJFI11;8,13;0,050000;8,51;11,10;0,73;211.515,68;0,60;;;351.133.879,13;11.573,00;;31.625.978,00
ALMI11;658,99;4,800000;6,96;2.105,16;0,31;12.917,12;4,35;;-7,54;234.045.639,88;1.902,00;;111.177,00
ALZC11;7,76;0,100000;14,70;9,39;0,83;401.013,53;0,65;;;188.174.497,02;9.759,00;;20.050.230,00
ALZM11;6,32;0,080000;0,00;7,46;0,85;0,00;3,80;-6,90;-8,54;113.203.496,22;12.195,00;Ativa;15.180.540,00
ALZR11;10,78;0,083550;9,25;10,64;1,01;2.355.164,63;6,67;0,56;8,03;1.301.443.456,05;176.535,00;;122.266.250,00
ANCR11B;3.221,00;2,019821;0,06;114,28;28,19;;2,05;;;3.055.246.255,97;235,00;;26.735.046,00
APTO11;8,60;0,090000;12,63;9,76;0,88;66.437,84;9,08;-3,38;11,46;45.020.414,52;8.011,00;;4.612.227,00
APXM11;83,89;0,338502;4,80;123,66;0,68;116.042,89;0,79;;;349.842.193,57;661,00;;2.829.142,00
APXR11;100,00;;0,00;78,27;1,28;180,00;0,19;;;8.576.322,66;158,00;;109.567,00
APXU11;95,00;;0,00;80,76;1,18;221,67;23,01;;;8.200.654,12;43,00;;101.542,00
AQLL11;385,03;;0,00;794,18;0,48;;0,26;;;115.805.940,26;83,00;;145.817,00
ARFI11B;479,99;;0,00;63,81;7,52;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
AROA11;1,07;0,015000;9,02;0,96;1,11;5.202,63;2,38;;;160.719.526,95;4.971,00;;167.926.832,00
ARRI11;6,62;0,090000;16,31;8,40;0,79;238.540,68;2,14;-4,25;1,94;174.164.421,39;23.612,00;;20.726.973,00
ARTE11;0,00;0,088907;0,00;10,52;;;11,24;;;89.422.709,40;706,00;;8.496.949,00
ARXD11;7,76;0,090000;14,43;9,12;0,85;73.100,32;2,75;;;80.927.742,96;1.810,00;;8.873.792,00
ASRF11;10.974,00;256,328699;0,00;9.711,93;1,13;877.920,00;13,38;;;38.847.713,94;89,00;;4.000,00
ATCR11;0,00;0,339672;0,00;68,41;;;1,28;;;63.551.092,99;33,00;;928.908,00
ATSA11;57,68;0,770000;4,18;77,32;0,75;692,69;2,90;5,24;-8,07;135.402.923,23;287,00;;1.751.141,00
ATWN11;0,00;;0,00;2.036,85;;;0,90;;;327.437.470,79;2,00;;160.757,00
AURB11;81,00;0,450000;2,98;81,04;1,00;1.999.971,00;9,79;;;87.988.890,46;20,00;;1.085.780,00
AZPE11;0,00;0,105000;0,00;10,02;;;9,71;;;125.293.514,23;2,00;;12.500.000,00
AZPL11;7,70;0,075000;12,86;8,48;0,91;1.003.315,21;3,71;;;355.377.219,84;5.553,00;;41.922.689,00
BARI11;79,20;0,760800;9,48;78,48;1,01;0,00;6,74;-0,15;8,20;363.696.267,15;31.765,00;;4.634.191,00
BBFI11;5,92;361,119836;6.100,00;62,00;0,10;154.597,00;1.182,56;28,01;-86,04;8.060.098,89;5.519,00;;130.000,00
BBFO11;65,99;0,710000;13,12;76,67;0,86;244.657,58;0,48;2,25;11,59;306.970.212,13;7.036,00;;4.003.900,00
BBIG11;7,36;0,085000;13,22;9,83;0,75;862.069,74;5,83;;;974.078.472,85;35.521,00;;99.120.994,00
BBIM11;0,00;0,340000;0,00;0,00;;;;-24,05;;0,00;0,00;Ativa;0,00
BBRC11;101,70;2,100000;13,44;104,77;0,97;108.019,32;11,58;1,79;15,01;166.591.431,82;8.431,00;;1.590.000,00
BCFF11;7,28;0,070000;0,00;8,76;0,83;0,00;6,73;1,07;-1,42;1.766.025.679,12;351.688,00;Ativa;201.491.024,00
BCIA11;89,49;0,860000;11,33;103,15;0,87;531.454,84;0,20;1,32;13,67;383.600.855,17;20.627,00;;3.719.038,00
BCRI11;70,19;0,910000;14,55;84,61;0,83;573.798,11;5,42;2,15;1,71;529.481.780,77;42.062,00;;6.257.873,00
BETW11;0,00;0,462963;0,00;105,45;;;0,74;;;264.089.083,79;2,00;;2.504.500,00
BGRB11;110,00;0,810000;6,89;120,03;0,92;13.545,14;1,56;;;232.005.448,40;373,00;;1.932.933,00
BICE11;888,28;3,250000;6,20;1.104,65;0,80;888,00;1,96;-20,96;;147.375.230,62;119,00;;133.414,00
BICR11;35,92;0,363000;0,00;41,61;0,86;72,00;3,33;-18,17;-26,20;20.805.910,51;641,00;Ativa;500.000,00
BIME11;6,19;0,080000;15,99;8,51;0,73;49.813,47;1,00;0,00;6,05;49.738.412,61;8.070,00;;5.845.602,00
BINR11;1.673,35;180,140924;10,77;1.126,71;1,49;0,00;14,51;;;133.780.649,39;103,00;;118.735,00
BIPD11;989,33;10,770000;6,98;964,51;1,03;430.358,00;3,12;;;106.519.491,41;112,00;;110.439,00
BIPE11;1.000,00;;0,00;978,67;1,02;6.000,00;4,31;;;53.986.448,67;103,00;;55.163,00
BLCA11;93,01;0,500000;6,83;126,75;0,73;10.708,11;2,93;-30,22;11,83;202.795.295,72;474,00;;1.600.000,00
BLCP11;91,00;0,563428;0,00;63,81;1,43;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
BLMC11;85,75;1,070000;0,00;63,81;1,34;;3,50;-0,67;1,09;118.155.565,38;8.102,00;;1.851.786,00
BLMG11;34,69;0,415900;12,56;50,34;0,69;240.898,74;1,45;-21,43;-11,31;235.324.824,72;12.841,00;;4.674.548,00
BLMO11;90,90;0,530000;6,93;104,64;0,87;30.276,33;1,74;-81,34;;104.097.591,50;295,00;;994.814,00
BLMR11;6,78;0,053000;0,00;63,81;0,11;;3,50;;0,65;118.155.565,38;8.102,00;;1.851.786,00
BLOG11;8,64;0,020000;3,94;11,26;0,77;46,00;0,11;;;346.922.775,80;112,00;;30.796.704,00
BLUR11;76,03;1,010650;4,09;76,13;1,00;228,00;100,42;-14,85;-0,96;6.851.720,42;1,00;Ativa;90.000,00
BMII11;0,00;0,228341;0,00;454,06;;;0,27;;;34.190.505,41;24,00;Ativa;75.300,00
BMLC11;99,00;0,720000;8,51;105,88;0,94;134.290,59;5,18;-10,59;14,65;105.707.821,49;1.250,00;;998.405,00
BNFS11;72,60;0,750000;15,69;77,91;0,93;69.726,47;7,53;-12,72;-3,70;54.538.305,59;5.718,00;;700.000,00
